name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Ever Restaurant,"1340 W Fulton St, Chicago, IL 60607, United States",ever-restaurant.com,,270,4.8,41.8869314,-87.7325062
Ever Restaurant,"1340 W Fulton St, Chicago, IL 60607, United States",ever-restaurant.com,,270,4.8,41.8869314,-87.7325062
Topolobampo,"445 N Clark St, Chicago, IL 60654, United States",topolochicago.com,+1 312-661-1434,660,4.6,41.893506,-87.6945958
Topolobampo,"445 N Clark St, Chicago, IL 60654, United States",topolochicago.com,+1 312-661-1434,660,4.6,41.893506,-87.6945958
Alinea,"1723 N Halsted St, Chicago, IL 60614, United States",alinearestaurant.com,+1 312-867-0110,2484,4.6,41.893506,-87.6945958
Oriole,"661 W Walnut St, Chicago, IL 60661, United States",oriolechicago.com,+1 312-877-5899,497,4.8,41.8578178,-87.7298758
Bavette's Bar & Boeuf,"218 W Kinzie St, Chicago, IL 60654, United States",bavettessteakhouse.com,+1 312-624-8154,2842,4.8,41.8578178,-87.7298758
Next Restaurant,"953 W Fulton Market, Chicago, IL 60607, United States",nextrestaurant.com,,545,4.6,41.8578178,-87.7298758
Au Cheval,"800 W Randolph St, Chicago, IL 60607, United States",auchevaldiner.com,+1 312-929-4580,8190,4.6,41.8578178,-87.7298758
XOCO,"65 W Illinois St, Chicago, IL 60654, United States",xocochicago.com,+1 312-723-2131,2991,4.5,41.8578178,-87.7298758
Lou Mitchell's,"565 W Jackson Blvd, Chicago, IL 60661, United States",loumitchells.com,+1 312-939-3111,3706,4.6,41.8578178,-87.7298758
La Scarola,"721 W Grand Ave, Chicago, IL 60654, United States",lascarola.com,+1 312-243-1740,1690,4.7,41.8578178,-87.7298758
Elske,"1350 W Randolph St, Chicago, IL 60607, United States",elskerestaurant.com,+1 312-733-1314,618,4.6,41.8578178,-87.7298758
The Kitchen American Bistro,"316 N Clark St, Chicago, IL 60654, United States",thekitchen.com,+1 312-836-1300,1252,4.3,41.8578178,-87.7298758
Schwa Restaurant,"1466 N Ashland Ave, Chicago, IL 60622, United States",schwarestaurant.com,+1 773-252-1466,257,4.5,41.9089333,-87.7399061
Ciccio Mio,"226 W Kinzie St, Chicago, IL 60654, United States",cicciomio.com,+1 312-796-3316,567,4.6,41.8936097,-87.6936551
McCormick & Schmick's Seafood & Steaks,"1 E Wacker Dr, Chicago, IL 60601, United States",mccormickandschmicks.com,+1 312-923-7226,1662,4.2,41.8936097,-87.6936551
1308 Chicago,"1308 N Elston Ave, Chicago, IL 60642, United States",1308chicago.com,+1 773-658-3139,120,4.6,41.9056954,-87.7322376
Obélix,"700 N Sedgwick St, Chicago, IL 60654, United States",obelixchicago.com,+1 312-877-5348,397,4.6,41.9056954,-87.7322376
McCormick & Schmick's Seafood & Steaks,"1 E Wacker Dr, Chicago, IL 60601, United States",mccormickandschmicks.com,+1 312-923-7226,1662,4.2,41.9056954,-87.7322376
EL ideas,"2419 W 14th St, Chicago, IL 60608, United States",elideas.com,+1 312-226-8144,338,4.8,41.9056954,-87.7322376
Native Foods,"218 S Clark St, Chicago, IL 60604, United States",nativefoods.com,+1 312-332-6332,2387,4.4,41.9056954,-87.7322376
1308 Chicago,"1308 N Elston Ave, Chicago, IL 60642, United States",1308chicago.com,+1 773-658-3139,120,4.6,41.9056954,-87.7322376
Steak 48,"615 N Wabash Ave, Chicago, IL 60611, United States",steak48.com,+1 312-266-4848,2204,4.5,41.9056954,-87.7322376
Obélix,"700 N Sedgwick St, Chicago, IL 60654, United States",obelixchicago.com,+1 312-877-5348,397,4.6,41.9056954,-87.7322376
Portillo's Chicago – Canal and Taylor,"520 W Taylor St, Chicago, IL 60607, United States",portillos.com,+1 312-667-4560,11627,4.2,41.9056954,-87.7322376
Smoque BBQ,"3800 N Pulaski Rd, Chicago, IL 60641, United States",smoquebbq.com,+1 773-545-7427,4047,4.6,41.9056954,-87.7322376
Shake Shack Chicago Athletic Association,"12 S Michigan Ave, Chicago, IL 60603, United States",shakeshack.com,+1 312-646-6005,4425,4.3,41.8866703,-87.7049907
Shake Shack Chicago Athletic Association,"12 S Michigan Ave, Chicago, IL 60603, United States",shakeshack.com,+1 312-646-6005,4425,4.3,41.8866703,-87.7049907
Lockwood Restaurant & Bar,"17 E Monroe St, Chicago, IL 60603, United States",lockwoodrestaurant.com,+1 312-917-3404,474,4.3,41.8866703,-87.7049907
Saucy Porka South Loop,"335 S Franklin St, Chicago, IL 60606, United States",saucyporka.com,+1 312-285-2303,647,4.6,41.8866703,-87.7049907
Jeong,"1460 W Chicago Ave, Chicago, IL 60642, United States",jeongchicago.com,+1 312-877-5016,294,4.8,41.8866703,-87.7049907
Daisies,"2375 N Milwaukee Ave, Chicago, IL 60647, United States",daisieschicago.com,+1 773-697-9443,883,4.4,41.9245434,-87.7716152
FireLake Grill House and Cocktail Bar,"221 N Columbus Dr, Chicago, IL 60601, United States",firelakechicago.com,+1 312-477-0234,251,3.8,41.8862313,-87.6921241
Taste of Chicago Restaurant,"3170 S Ashland Ave H, Chicago, IL 60608, United States",tasteofchicago-online.com,+1 773-579-0355,359,4.4,41.83567,-87.7382678
La Bamba Jalisco,"Lower Level, 105 W Madison St, Chicago, IL 60602, United States",labambaburritos.com,+1 312-964-5252,253,4.4,41.8818691,-87.7032741
Chicago Raw,"51 W Huron St, Chicago, IL 60654, United States",chicagorawfood.com,+1 312-664-2729,353,4.4,41.8818691,-87.7032741
Meli Cafe,"500 S Dearborn St, Chicago, IL 60605, United States",melicafe.com,+1 312-834-0500,2261,4.3,41.8818691,-87.7032741
